"LocID" "SeriesID" "DateFormtd" "year" "TFR" "births"
470 1706816522140 1995-11-26 1995.40136986301 1.93723186590495 4946.96540627514
470 1706816522140 1995-11-26 1994.40136986301 1.97074994953474 5089.39516129032
470 1706816522140 1995-11-26 1993.40136986301 1.99512287348682 5208.58476395931
470 1706816522140 1995-11-26 1992.40136986301 2.01615637923181 5318.16522642251
470 1706816522140 1995-11-26 1991.40136986301 2.03332410309656 5417.71026246243
470 1706816522140 1995-11-26 1990.40136986301 2.04530675537848 5507.16473935945
470 1706816522140 1995-11-26 1989.40136986301 2.05135745963653 5586.89345379296
470 1706816522140 1995-11-26 1988.40136986301 2.0538992698832 5657.14689636369
470 1706816522140 1995-11-26 1987.40136986301 2.05292648214822 5718.34372127322
470 1706816522140 1995-11-26 1986.40136986301 2.04869817558815 5770.90585714863
470 1706816522140 1995-11-26 1985.40136986301 2.05243506109929 5811.67003639304
470 1706816522140 1995-11-26 1984.40136986301 2.06272278922225 5837.70152604593
470 1706816522140 1995-11-26 1983.40136986301 2.07432605161368 5866.36829006738
470 1706816522140 1995-11-26 1982.40136986301 2.08891971671566 5903.5630520788
470 1706816522140 1995-11-26 1981.40136986301 2.10358938629299 5940.17789020997
470 1722455023471 1967-11-26 1967.40136986301 2.10838429265306 4882.58307030715
470 1722455023471 1967-11-26 1966.40136986301 2.20877405629774 4990.78195558608
470 1722455023471 1967-11-26 1965.40136986301 2.46469769174951 5426.30735507203
470 1722455023471 1967-11-26 1964.40136986301 2.70810759149982 5799.7274814969
470 1722455023471 1967-11-26 1963.40136986301 2.93999537866782 6114.53899206235
470 1722455023471 1967-11-26 1962.40136986301 3.18201142181487 6479.92964085797
470 1722455023471 1967-11-26 1961.40136986301 3.32476166264106 6693.02417140667
470 1722455023471 1967-11-26 1960.40136986301 3.44727841604452 6860.85278555867
470 1722455023471 1967-11-26 1959.40136986301 3.55391518001344 6992.26308021702
470 1722455023471 1967-11-26 1958.40136986301 3.6447939378428 7091.09981669722
470 1722455023471 1967-11-26 1957.40136986301 3.72268067780346 7148.21628729766
470 1722455023471 1967-11-26 1956.40136986301 3.78398828458757 7156.04371699001
470 1722455023471 1967-11-26 1955.40136986301 3.85953844601736 7185.90030604117
470 1722455023471 1967-11-26 1954.40136986301 3.96199299773176 7260.5399962238
470 1722455023471 1967-11-26 1953.40136986301 4.07752718751442 7351.42326537893
470 1771184490133 1957-11-30 1957.41232876712 3.63952361286289 8432.20470245655
470 1771184490133 1957-11-30 1956.41232876712 3.53309640697765 8017.48536237368
470 1771184490133 1957-11-30 1955.41232876712 3.58035861222245 7954.34172597969
470 1771184490133 1957-11-30 1954.41232876712 3.68719154881199 8016.21046864153
470 1771184490133 1957-11-30 1953.41232876712 3.83830149783741 8162.06470563836
470 1771184490133 1957-11-30 1952.41232876712 4.0455832589266 8429.05673274094
470 1771184490133 1957-11-30 1951.41232876712 4.22790465330072 8646.89769438497
470 1771184490133 1957-11-30 1950.41232876712 4.4185072531288 8867.38348146542
470 1771184490133 1957-11-30 1949.41232876712 4.58332945754361 9022.5100510703
470 1771184490133 1957-11-30 1948.41232876712 4.72058223894538 9111.78818312247
470 1771184490133 1957-11-30 1947.41232876712 4.86649134672548 9211.49517265374
470 1771184490133 1957-11-30 1946.41232876712 5.05179426010092 9378.13238205033
470 1771184490133 1957-11-30 1945.41232876712 5.05109449003704 9192.74705427959
470 1771184490133 1957-11-30 1944.41232876712 4.75111695037446 8473.64883103313
470 1771184490133 1957-11-30 1943.41232876712 4.25581465808266 7435.17144506027
470 9317312022320 1967-11-26 1967.40136986301 2.10838429265306 4882.58307030715
470 9317312022320 1967-11-26 1966.40136986301 2.20877405629774 4990.78195558608
470 9317312022320 1967-11-26 1965.40136986301 2.46469769174951 5426.30735507203
470 9317312022320 1967-11-26 1964.40136986301 2.70810759149982 5799.7274814969
470 9317312022320 1967-11-26 1963.40136986301 2.93999537866782 6114.53899206235
470 9317312022320 1967-11-26 1962.40136986301 3.18201142181487 6479.92964085797
470 9317312022320 1967-11-26 1961.40136986301 3.32476166264106 6693.02417140667
470 9317312022320 1967-11-26 1960.40136986301 3.44727841604452 6860.85278555867
470 9317312022320 1967-11-26 1959.40136986301 3.55391518001344 6992.26308021702
470 9317312022320 1967-11-26 1958.40136986301 3.6447939378428 7091.09981669722
470 9317312022320 1967-11-26 1957.40136986301 3.72268067780346 7148.21628729766
470 9317312022320 1967-11-26 1956.40136986301 3.78398828458757 7156.04371699001
470 9317312022320 1967-11-26 1955.40136986301 3.85953844601736 7185.90030604117
470 9317312022320 1967-11-26 1954.40136986301 3.96199299773176 7260.5399962238
470 9317312022320 1967-11-26 1953.40136986301 4.07752718751442 7351.42326537893
470 10622293239172 2005-11-27 2005.40410958904 1.36048988252844 3735.52883504606
470 10622293239172 2005-11-27 2004.40410958904 1.39818327115831 3813.95386287693
470 10622293239172 2005-11-27 2003.40410958904 1.44322898440344 3910.34170399074
470 10622293239172 2005-11-27 2002.40410958904 1.49674096904874 4028.27148191765
470 10622293239172 2005-11-27 2001.40410958904 1.55776482056991 4163.95228748301
470 10622293239172 2005-11-27 2000.40410958904 1.61926506246613 4313.5461399853
470 10622293239172 2005-11-27 1999.40410958904 1.679778715879 4473.29286339887
470 10622293239172 2005-11-27 1998.40410958904 1.74378296641354 4639.43137314124
470 10622293239172 2005-11-27 1997.40410958904 1.80970325363481 4808.9743718846
470 10622293239172 2005-11-27 1996.40410958904 1.87633580308692 4977.73945626882
470 10622293239172 2005-11-27 1995.40410958904 1.93330423923311 5146.7496901732
470 10622293239172 2005-11-27 1994.40410958904 1.97983262668689 5317.30984368228
470 10622293239172 2005-11-27 1993.40410958904 2.01547084896623 5460.34357609485
470 10622293239172 2005-11-27 1992.40410958904 2.03506757883922 5560.79127260995
470 10622293239172 2005-11-27 1991.40410958904 2.04345270976949 5630.71456659172
470 18216020212132 1995-11-26 1995.40136986301 1.87451348025418 4786.80611423974
470 18216020212132 1995-11-26 1994.40136986301 1.98579574382932 5128.25041672173
470 18216020212132 1995-11-26 1993.40136986301 2.0103547441531 5248.34997869034
470 18216020212132 1995-11-26 1992.40136986301 2.03154883130559 5358.76703896612
470 18216020212132 1995-11-26 1991.40136986301 2.04884762306246 5459.07205682699
470 18216020212132 1995-11-26 1990.40136986301 2.04530675537848 5507.16473935945
470 18216020212132 1995-11-26 1989.40136986301 2.05135745963653 5586.89345379296
470 18216020212132 1995-11-26 1988.40136986301 2.0538992698832 5657.14689636369
470 18216020212132 1995-11-26 1987.40136986301 2.05292648214822 5718.34372127322
470 18216020212132 1995-11-26 1986.40136986301 2.04869817558815 5770.90585714863
470 18216020212132 1995-11-26 1985.40136986301 2.05243506109929 5811.67003639304
470 18216020212132 1995-11-26 1984.40136986301 2.06272278922225 5837.70152604593
470 18216020212132 1995-11-26 1983.40136986301 2.07432605161368 5866.36829006738
470 18216020212132 1995-11-26 1982.40136986301 2.08891971671566 5903.5630520788
