"LocID" "SeriesID" "DateFormtd" "year" "TFR"
28 31513101151 1960-04-07 1959.7650273224 4.64166357005757
28 31513101151 1960-04-07 1958.7650273224 4.16354208156926
28 31513101151 1960-04-07 1957.7650273224 4.68028461725432
28 31513101151 1960-04-07 1956.7650273224 5.2023797927057
28 31513101151 1960-04-07 1955.7650273224 5.35809637487918
28 31513101151 1960-04-07 1954.7650273224 5.64081827919474
28 31513101151 1960-04-07 1953.7650273224 5.08264227405339
28 31513101151 1960-04-07 1952.7650273224 4.90264239508829
28 31513101151 1960-04-07 1951.7650273224 5.23330162548185
28 31513101151 1960-04-07 1950.7650273224 5.38628133888631
28 31513101151 1960-04-07 1949.7650273224 6.00979397180269
28 31513101151 1960-04-07 1948.7650273224 4.66556390608715
28 31513101151 1960-04-07 1947.7650273224 5.26595853400057
28 31513101151 1960-04-07 1946.7650273224 5.17674532212103
28 31513101151 1960-04-07 1945.7650273224 5.10033362197143
28 90171382167 2001-05-28 2000.90273972603 2.07995564913639
28 90171382167 2001-05-28 1999.90273972603 2.08443258577674
28 90171382167 2001-05-28 1998.90273972603 2.11707290043668
28 90171382167 2001-05-28 1997.90273972603 2.13921123938766
28 90171382167 2001-05-28 1996.90273972603 2.13993196449316
28 90171382167 2001-05-28 1995.90273972603 2.30548967969646
28 90171382167 2001-05-28 1994.90273972603 2.2778976256079
28 90171382167 2001-05-28 1993.90273972603 2.06827549798352
28 90171382167 2001-05-28 1992.90273972603 2.21540908200673
28 90171382167 2001-05-28 1991.90273972603 2.03554394657354
28 90171382167 2001-05-28 1990.90273972603 2.30224360259515
28 90171382167 2001-05-28 1989.90273972603 2.19416913468131
28 90171382167 2001-05-28 1988.90273972603 2.08322920037524
28 90171382167 2001-05-28 1987.90273972603 2.18560912507164
28 90171382167 2001-05-28 1986.90273972603 2.35585321944398
28 117992295629 2011-05-27 2010.9 1.63939928844712
28 117992295629 2011-05-27 2009.9 2.10051494112223
28 117992295629 2011-05-27 2008.9 2.05163569847879
28 117992295629 2011-05-27 2007.9 1.87118283531699
28 117992295629 2011-05-27 2006.9 1.84051119248531
28 117992295629 2011-05-27 2005.9 1.78242726963742
28 117992295629 2011-05-27 2004.9 1.83801065377439
28 117992295629 2011-05-27 2003.9 1.86597038197608
28 117992295629 2011-05-27 2002.9 1.90488509970601
28 117992295629 2011-05-27 2001.9 1.84264312579987
28 117992295629 2011-05-27 2000.9 2.17177700805849
28 117992295629 2011-05-27 1999.9 2.07176369193779
28 117992295629 2011-05-27 1998.9 2.0627920222654
28 117992295629 2011-05-27 1997.9 2.11437620596339
28 117992295629 2011-05-27 1996.9 2.24068530782467
28 4923215926189 1991-05-29 1990.90547945205 2.34224846044966
28 4923215926189 1991-05-29 1989.90547945205 2.5344604632071
28 4923215926189 1991-05-29 1988.90547945205 2.35944765488166
28 4923215926189 1991-05-29 1987.90547945205 2.436028773554
28 4923215926189 1991-05-29 1986.90547945205 2.40974983615012
28 4923215926189 1991-05-29 1985.90547945205 2.5687897696593
28 4923215926189 1991-05-29 1984.90547945205 2.62217804348541
28 4923215926189 1991-05-29 1983.90547945205 2.54578924251156
28 4923215926189 1991-05-29 1982.90547945205 2.77582076558414
28 4923215926189 1991-05-29 1981.90547945205 2.68084541200323
28 4923215926189 1991-05-29 1980.90547945205 2.71144907039588
28 4923215926189 1991-05-29 1979.90547945205 2.85859027573089
28 4923215926189 1991-05-29 1978.90547945205 2.71816707895641
28 4923215926189 1991-05-29 1977.90547945205 2.77886779849734
28 4923215926189 1991-05-29 1976.90547945205 3.48935916197105
32 18983413242 1960-09-30 1960.24590163934 2.95200013126999
32 18983413242 1960-09-30 1959.24590163934 2.98521481250596
32 18983413242 1960-09-30 1958.24590163934 3.03083337418458
32 18983413242 1960-09-30 1957.24590163934 3.10550837918519
32 18983413242 1960-09-30 1956.24590163934 3.08982393456098
32 18983413242 1960-09-30 1955.24590163934 3.1001241400297
32 18983413242 1960-09-30 1954.24590163934 3.09176795954449
32 18983413242 1960-09-30 1953.24590163934 3.16572577220426
32 18983413242 1960-09-30 1952.24590163934 3.13678306429501
32 18983413242 1960-09-30 1951.24590163934 3.16536751529023
32 18983413242 1960-09-30 1950.24590163934 3.24598459219454
32 18983413242 1960-09-30 1949.24590163934 3.15380553049994
32 18983413242 1960-09-30 1948.24590163934 3.21215619597777
32 18983413242 1960-09-30 1947.24590163934 3.1450314528581
32 18983413242 1960-09-30 1946.24590163934 3.13347254714959
32 27403421434 1960-10-01 1960.24863387978 2.95105186437053
32 27403421434 1960-10-01 1959.24863387978 2.98425718066897
32 27403421434 1960-10-01 1958.24863387978 3.02986222094993
32 27403421434 1960-10-01 1957.24863387978 3.10451453541802
32 27403421434 1960-10-01 1956.24863387978 3.08883196979384
32 27403421434 1960-10-01 1955.24863387978 3.09913311150335
32 27403421434 1960-10-01 1954.24863387978 3.09077835185937
32 27403421434 1960-10-01 1953.24863387978 3.16471098514883
32 27403421434 1960-10-01 1952.24863387978 3.13577587347858
32 27403421434 1960-10-01 1951.24863387978 3.1643547987676
32 27403421434 1960-10-01 1950.24863387978 3.24494398135251
32 27403421434 1960-10-01 1949.24863387978 3.15279537175555
32 27403421434 1960-10-01 1948.24863387978 3.21113138550222
32 27403421434 1960-10-01 1947.24863387978 3.14403368614311
32 27403421434 1960-10-01 1946.24863387978 3.13248101826079
32 87208575130 2001-11-18 2001.37945205479 2.51387254706372
32 87208575130 2001-11-18 2000.37945205479 2.38433604113002
32 87208575130 2001-11-18 1999.37945205479 2.67820269915981
