"LocID" "SeriesID" "DateFormtd" "year" "TFR" "births" "TypeEst"
28 65323616782 2011-05-27 2010.9 42.5524656064426 27684.3481235537 "Abridged-Sprague"
28 65323616782 2011-05-27 2009.9 31.68342507281 20623.2875330388 "Abridged-Sprague"
28 65323616782 2011-05-27 2008.9 22.6821223329981 14769.7342668631 "Abridged-Sprague"
28 65323616782 2011-05-27 2007.9 15.4799903601475 10083.5765465738 "Abridged-Sprague"
28 65323616782 2011-05-27 2006.9 9.89059463361431 6445.16573274774 "Abridged-Sprague"
28 65323616782 2011-05-27 2005.9 5.14847997121194 3358.94342499916 "Abridged-Sprague"
28 65323616782 2011-05-27 2004.9 2.69562105917904 1762.24040315022 "Abridged-Sprague"
28 65323616782 2011-05-27 2003.9 1.14396017930202 749.37150390367 "Abridged-Sprague"
28 65323616782 2011-05-27 2002.9 0.439475131320412 288.453858886396 "Abridged-Sprague"
28 65323616782 2011-05-27 2001.9 0.425175170918801 279.588493909091 "Abridged-Sprague"
28 65323616782 2011-05-27 2000.9 0.404872883998709 266.544592760639 "Abridged-Sprague"
28 65323616782 2011-05-27 1999.9 1.62768332937744 1072.10328438675 "Abridged-Sprague"
28 65323616782 2011-05-27 1998.9 2.52485594392353 1663.63625301669 "Abridged-Sprague"
28 65323616782 2011-05-27 1997.9 2.57562857936639 1697.55634445684 "Abridged-Sprague"
28 65323616782 2011-05-27 1996.9 2.11828000382088 1396.51311184377 "Abridged-Sprague"
28 237206129222 1960-04-07 1959.7650273224 4.64179983282706 1832.02748564964 "Abridged-Sprague"
28 237206129222 1960-04-07 1958.7650273224 4.68502995647625 1794.37662231965 "Abridged-Sprague"
28 237206129222 1960-04-07 1957.7650273224 4.77085390095104 1771.53216052072 "Abridged-Sprague"
28 237206129222 1960-04-07 1956.7650273224 4.8830824064052 1756.17943508938 "Abridged-Sprague"
28 237206129222 1960-04-07 1955.7650273224 5.01330571197031 1744.46704971048 "Abridged-Sprague"
28 237206129222 1960-04-07 1954.7650273224 5.14085241847526 1742.6916273265 "Abridged-Sprague"
28 237206129222 1960-04-07 1953.7650273224 5.20139636573513 1730.55631321121 "Abridged-Sprague"
28 237206129222 1960-04-07 1952.7650273224 5.2593628172884 1716.8193236291 "Abridged-Sprague"
28 237206129222 1960-04-07 1951.7650273224 5.31184264526283 1700.59785126519 "Abridged-Sprague"
28 237206129222 1960-04-07 1950.7650273224 5.35543667624326 1680.92833370313 "Abridged-Sprague"
28 237206129222 1960-04-07 1949.7650273224 5.37499514166283 1659.62461222577 "Abridged-Sprague"
28 237206129222 1960-04-07 1948.7650273224 5.37542710951507 1638.6201322392 "Abridged-Sprague"
28 237206129222 1960-04-07 1947.7650273224 5.32442639010346 1602.13600786094 "Abridged-Sprague"
28 237206129222 1960-04-07 1946.7650273224 5.17917597141982 1538.06358054064 "Abridged-Sprague"
28 237206129222 1960-04-07 1945.7650273224 4.97245841228548 1457.12126198718 "Abridged-Sprague"
28 471872414988 1991-05-29 1990.90547945205 2.32302218644206 1237.43433953446 "Abridged-Sprague"
28 471872414988 1991-05-29 1989.90547945205 2.38449192843635 1255.16916812457 "Abridged-Sprague"
28 471872414988 1991-05-29 1988.90547945205 2.42441111364607 1261.61559318565 "Abridged-Sprague"
28 471872414988 1991-05-29 1987.90547945205 2.46110554034058 1266.80052450418 "Abridged-Sprague"
28 471872414988 1991-05-29 1986.90547945205 2.49356722175534 1270.02370519359 "Abridged-Sprague"
28 471872414988 1991-05-29 1985.90547945205 2.53620799526458 1270.72175334354 "Abridged-Sprague"
28 471872414988 1991-05-29 1984.90547945205 2.59114087594584 1268.96381274072 "Abridged-Sprague"
28 471872414988 1991-05-29 1983.90547945205 2.64287844444443 1264.83241001517 "Abridged-Sprague"
28 471872414988 1991-05-29 1982.90547945205 2.69095490778284 1258.29320215778 "Abridged-Sprague"
28 471872414988 1991-05-29 1981.90547945205 2.73523280835832 1249.49533639065 "Abridged-Sprague"
28 471872414988 1991-05-29 1980.90547945205 2.79120394136566 1240.4508923479 "Abridged-Sprague"
28 471872414988 1991-05-29 1979.90547945205 2.86601874748796 1233.19842094328 "Abridged-Sprague"
28 471872414988 1991-05-29 1978.90547945205 2.92691030767456 1218.1427248223 "Abridged-Sprague"
28 471872414988 1991-05-29 1977.90547945205 2.95948332819114 1190.16903608811 "Abridged-Sprague"
28 471872414988 1991-05-29 1976.90547945205 2.97810469945289 1155.93728186696 "Abridged-Sprague"
28 1041198249146 2001-05-28 2000.90273972603 2.07979991687451 1440.30611285407 "Abridged-Sprague"
28 1041198249146 2001-05-28 1999.90273972603 2.09520699289469 1453.73014228065 "Abridged-Sprague"
28 1041198249146 2001-05-28 1998.90273972603 2.11414598620427 1469.71140600564 "Abridged-Sprague"
28 1041198249146 2001-05-28 1997.90273972603 2.12951933537836 1483.13295252741 "Abridged-Sprague"
28 1041198249146 2001-05-28 1996.90273972603 2.14049790933 1493.56796856297 "Abridged-Sprague"
28 1041198249146 2001-05-28 1995.90273972603 2.15860503865047 1502.96140822574 "Abridged-Sprague"
28 1041198249146 2001-05-28 1994.90273972603 2.17605168348599 1506.57404606626 "Abridged-Sprague"
28 1041198249146 2001-05-28 1993.90273972603 2.18733397240198 1506.66611898786 "Abridged-Sprague"
28 1041198249146 2001-05-28 1992.90273972603 2.19288814840523 1503.62386494564 "Abridged-Sprague"
28 1041198249146 2001-05-28 1991.90273972603 2.1918923715915 1497.17114684304 "Abridged-Sprague"
28 1041198249146 2001-05-28 1990.90273972603 2.20298646632891 1488.65651612582 "Abridged-Sprague"
